"","Project","Merge_Scenario","has_merge_Conflict","has_build_conflict","has_integration_conflict","has_test_conflict","has_predictor","Methods_With_Conflicts","Conflicting_EditSameMC","Conflicting_EditSameMC_DS","Conflicting_EditSameFD","Conflicting_EditSameFD_DS","NonConflicting_EditSameMC","NonConflicting_EditSameMC_DS","NonConflicting_EditSameFD","NonConflicting_EditSameFD_DS","EditDiffMC","EditDifffMC_EditSameMC","EditDiffMC_EditionAddsMethodInvocation","EditDiffMC_EditionAddsMethodInvocation_EditSameMC"
"4552","swagger-core","rev_3cd4c-a084c",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4569","swagger-core","rev_7ab94-69409",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4575","swagger-core","rev_9ef65-0028c",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4577","swagger-core","rev_4e125-da6ee",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4584","swagger-core","rev_1ac40-c0a4e",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4585","swagger-core","rev_b11d8-0e6d8",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4588","swagger-core","rev_d1cb7-38673",0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"4604","swagger-core","rev_e2422-afdc0",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4614","swagger-core","rev_90405-7e915",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4659","swagger-core","rev_9ccad-6761d",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4664","swagger-core","rev_68903-91a4d",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4668","swagger-core","rev_e655e-5fe87",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4674","swagger-core","rev_83781-798bf",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4715","swagger-core","rev_05670-cb5a8",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4741","swagger-core","rev_a04ec-15435",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4759","swagger-core","rev_d6f87-9a6cf",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4766","swagger-core","rev_c1431-b1cb6",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4769","swagger-core","rev_38324-32901",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4770","swagger-core","rev_76465-35a75",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4784","swagger-core","rev_7a0a7-6435a",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4809","traccar","rev_8a1fc-2c0fc",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4828","traccar","rev_81736-0bda0",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4850","traccar","rev_137fe-8ff8e",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4998","webmagic","rev_37cb4-6b179",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"5031","webmagic","rev_c701f-adf54",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"5057","wire","rev_81031-ed240",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"5069","wire","rev_e9212-d26ba",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"5145","wire","rev_8924c-b2fcb",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"5156","wire","rev_6a6ec-7dca6",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"5232","XChange","rev_cd021-c18f9",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"5253","XChange","rev_3b3a4-7a3ef",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"5456","XChange","rev_7e9de-b7c11",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
