Project,Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
acs-aem-commons,rev_6d601-a11c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_3105e-a4c16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_7c0ea-0ce3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_d37be-452d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_564e6-05f22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_bed7b-75681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_e2440-0ecc7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_e0167-352e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_8f850-0b5ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_20f2a-fff2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_c2497-dc33e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_24fd3-edcd9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_fbe83-8c7a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_8776a-9b5ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
